CULTIVO,MAIZ
,
Etiquetas de fila,Promedio de Producción
ABEJORRAL,517.125
ABREGO,873.255814
ABRIAQUI,12.44444444
ACACIAS,110.3333333
ACANDI,186.3043478
ACEVEDO,1350.604167
ACHI,2603.730769
AGRADO,324.7708333
AGUA DE DIOS,52.8
AGUACHICA,1626.297872
AGUADA,94.25
AGUADAS,29.2173913
AGUAZUL,146.483871
AGUSTIN CODAZZI,601.8518519
AIPE,424.8333333
ALBAN,101.2857143
ALBANIA,367.5576923
ALCALA,89.95833333
ALDANA,26
ALEJANDRIA,9
ALGARROBO,349.2608696
ALGECIRAS,875.6666667
ALMAGUER,47.86363636
ALMEIDA,183.5384615
ALTAMIRA,211.6875
ALTO BAUDO,163.0416667
ALTOS DEL ROSARIO,437.0416667
ALVARADO,355.4285714
AMAGA,16.36842105
AMALFI,145.3571429
AMBALEMA,735.6666667
ANAPOIMA,214.8181818
ANCUYA,410.7567568
ANDALUCIA,767.8
ANDES,16.61904762
ANGELOPOLIS,18.47826087
ANGOSTURA,28.13043478
ANOLAIMA,98.0952381
ANORI,35.16666667
ANSERMA,201.8461538
ANSERMANUEVO,95.175
ANZA,20.57894737
ANZOATEGUI,349
APARTADO,1024.625
APIA,93.29166667
APULO,69.83333333
ARACATACA,530.4347826
ARANZAZU,89.41935484
ARATOCA,85.61111111
ARAUCA,2816.909091
ARAUQUITA,4348.375
ARBOLEDA,64.09090909
ARBOLEDAS,27.91666667
ARBOLETES,3469.25
ARCABUCO,29
ARENAL,962.3043478
ARGELIA,38.94915254
ARIGUANI,987.4583333
ARJONA,2098.708333
ARMENIA,70.5952381
ARMERO (GUAYABAL),2906.674419
ARROYOHONDO,677.25
ASTREA,427.1071429
ATACO,417.9615385
ATRATO,33.89473684
AYAPEL,421.2222222
BAGADO,29.6875
BAHIA SOLANO,49.47058824
BAJO BAUDO,182.0909091
BALBOA,60.95833333
BARANOA,75.9047619
BARAYA,308.3409091
BARBACOAS,34.68421053
BARBOSA,51.60784314
BARICHARA,144.173913
BARRANCA DE UPIA,609.1923077
BARRANCABERMEJA,276.2413793
BARRANCAS,707.04
BARRANCO DE LOBA,609.375
BARRANCO MINA,64.875
BECERRIL,1088.939394
BELALCAZAR,209.5714286
BELEN,64.25
BELEN DE LOS ANDAQUIES,154
BELEN DE UMBRIA,174.16
BELTRAN,327.5
BERBEO,15.56521739
BETANIA,31.6
BETEITIVA,21.8
BETULIA,221.5625
BITUIMA,99.28571429
BOAVITA,115.5
BOCHALEMA,32.5
BOJACA,172.0833333
BOJAYA,88.31818182
BOLIVAR,335.2743363
BOSCONIA,89.04347826
BOYACA,53.33333333
BRICEÑO,98.375
BUCARAMANGA,46.86956522
BUCARASICA,21.17391304
BUENAVENTURA,116.173913
BUENAVISTA,171.959596
BUENOS AIRES,47.69565217
BUESACO,485.8125
BUGA,1232.377778
BUGALAGRANDE,2090.87234
BURITICA,63.91666667
BUSBANZA,38.84615385
CAÑASGORDAS,55.60869565
CABRERA,308.3
CABUYARO,257.4137931
CACERES,725.5454545
CACHIPAY,36.91666667
CACHIRA,18.57142857
CACOTA,38.81818182
CAICEDO,56.76470588
CAICEDONIA,4182.104167
CAIMITO,2648.458333
CAJAMARCA,185
CAJIBIO,65.43478261
CAJICA,30.05263158
CALAMAR,1356.434783
CALARCA,61.15789474
CALDAS,231.7631579
CALDONO,50.9
CALI,70.96428571
CALIFORNIA,5.875
CALIMA EL DARIEN,41.13043478
CALOTO,93.82608696
CAMPAMENTO,11.5
CAMPO DE LA CRUZ,352.5277778
CAMPOALEGRE,858.0833333
CAMPOHERMOSO,61.375
CANALETE,1007.041667
CANDELARIA,176.1276596
CANTAGALLO,621.75
CAPARRAPI,1038.125
CAPITANEJO,32.90909091
CAQUEZA,205.8695652
CARACOLI,26.70833333
CARAMANTA,27.36842105
CARCASI,225.125
CAREPA,567.9130435
CARMEN DE APICALA,11.43478261
CARMEN DE CARUPA,12.71428571
CARMEN DE VIBORAL,1354.5
CARMEN DEL ATRATO,74.41666667
CARMEN DEL DARIEN,1251.73913
CARTAGENA DE INDIAS,101.4583333
CARTAGENA DEL CHAIRA,695.6521739
CARTAGO,3492.06383
CARURU,82
CASABIANCA,55.95238095
CASTILLA LA NUEVA,490
CAUCASIA,365.3809524
CEPITA,26.25
CERETE,7457.428571
CERINZA,14.4
CERRITO,7.230769231
CERRO DE SAN ANTONIO,597.125
CERTEGUI,11.13043478
CHACHAGUI,106.5833333
CHAGUANI,35.91666667
CHALAN,599.5208333
CHAMEZA,168.6315789
CHAPARRAL,250.4444444
CHARALA,37.65217391
CHARTA,11
CHIA,83.83333333
CHIGORODO,64.5
CHIMA,2846.709677
CHIMICHAGUA,444.2083333
CHINACOTA,19.83333333
CHINAVITA,48.8125
CHINCHINA,202
CHINU,1832.121951
CHIPATA,196.6521739
CHIQUINQUIRA,146.2941176
CHIQUIZA,57.86666667
CHIRIGUANA,353.2307692
CHISCAS,60.5
CHITA,126.4615385
CHITAGA,82.28571429
CHITARAQUE,51.29411765
CHIVATA,39.125
CHIVOLO,307.375
CHIVOR,13.66666667
CHOACHI,125
CICUCO,158.0869565
CIENAGA,768.9166667
CIENAGA DE ORO,6770.340426
CIMITARRA,115.0625
CIRCASIA,34
CISNEROS,15.34782609
CIUDAD BOLIVAR,1028.75
CLEMENCIA,434.875
COCORNA,114.4166667
COELLO,840.90625
COLOMBIA,419.4791667
COLON,121.7142857
COLOSO,1038.489362
COMBITA,86.6
CONCEPCION,180.2941176
CONCORDIA,262.1875
CONDOTO,21.1
CONFINES,18.86956522
CONSACA,181.6333333
CONTADERO,31.77777778
CONTRATACION,56
CONVENCION,86.25
COPER,76.875
CORDOBA,143.5483871
CORINTO,32.88888889
COROMORO,85.13043478
COROZAL,742.2222222
CORRALES,25.63636364
COTA,196.7058824
COTORRA,9454.947368
COVARACHIA,101.047619
COVEÑAS,106.1904762
COYAIMA,567.28
CRAVO NORTE,56.42105263
CUASPUD,35.16666667
CUBARA,39.95652174
CUCAITA,25
CUCUTA,235.5833333
CUCUTILLA,26.91666667
CUITIVA,8.285714286
CUMARAL,1052.068966
CUMARIBO,12563.11538
CUMBAL,31.64285714
CUMBITARA,102.5555556
CUNDAY,46.29411765
CURILLO,577.826087
CURITI,270.3043478
CURUMANI,499.3703704
DABEIBA,250.8333333
DAGUA,360
DIBULLA,529.7083333
DISTRACCION,192.05
DOLORES,160.5789474
DON MATIAS,8.142857143
DOS QUEBRADAS,17.92307692
DUITAMA,101.8333333
DURANIA,95.625
EBEJICO,57.8125
EL AGUILA,35.86363636
EL BAGRE,466.0869565
EL BANCO,499.875
EL CAIRO,57.25
EL CALVARIO,115.5833333
EL CANTON DEL SAN PABLO,14.72222222
EL CARMEN,388.3714286
EL CARMEN DE BOLIVAR,4345.875
EL CARMEN DE CHUCURI,493.1
EL CASTILLO,756.1707317
EL CERRITO,1111.538462
EL CHARCO,5.785714286
EL COCUY,16.72727273
EL COLEGIO,21.875
EL COPEY,405.3043478
EL DONCELLO,61.45833333
EL DORADO,174.6842105
EL DOVIO,25.13636364
EL ESPINO,28.93333333
EL GUACAMAYO,159.3888889
EL GUAMO,2671.478261
EL MOLINO,567.9375
EL PASO,242.6086957
EL PAUJIL,23.54545455
EL PEÑOL,558.3636364
EL PEÑON,234.1166667
EL PIÑON,327.4166667
EL PLAYON,30
EL RETEN,233.3181818
EL RETORNO,1180.857143
EL ROBLE,179.2857143
EL ROSAL,117.6666667
EL ROSARIO,157.875
EL TABLON,70.55
EL TAMBO,770.9807692
EL TARRA,282.25
EL ZULIA,432.9583333
ELIAS,85.60416667
ENCINO,24.86363636
ENCISO,138.5789474
ESPINAL,18630.57143
FACATATIVA,199.3333333
FALAN,518.2592593
FILADELFIA,106.4
FILANDIA,15.25
FIRAVITOBA,58.83333333
FLANDES,1260.045455
FLORENCIA,69.19565217
FLORESTA,124.1666667
FLORIAN,37.08
FLORIDA,161.4583333
FOMEQUE,33.81818182
FONSECA,171.3846154
FORTUL,1227.625
FOSCA,170.6153846
FRANCISCO PIZARRO,10.5
FREDONIA,12.16666667
FRESNO,612.8947368
FRONTINO,40.76190476
FUENTE DE ORO,4450.548387
FUNDACION,895.5833333
FUNES,41.0952381
FUNZA,481.5217391
FUQUENE,48
FUSAGASUGA,73.36363636
GACHALA,340.6666667
GACHANCIPA,4.923076923
GACHANTIVA,65.35714286
GACHETA,74
GALAN,47.77272727
GALAPA,86.19354839
GALERAS,179.125
GAMA,101.1666667
GAMARRA,408.5208333
GAMBITA,34.5
GAMEZA,28
GARAGOA,227.7916667
GARZON,1834.9375
GENOVA,22.25
GIGANTE,911.75
GINEBRA,168.3953488
GIRALDO,14.5
GIRARDOT,85.14285714
GIRARDOTA,4
GIRON,69.46666667
GOMEZ PLATA,15.3
GONZALEZ,220.3333333
GRAMALOTE,10.70833333
GRANADA,3067.414286
GUACA,167.4666667
GUACAMAYAS,44.125
GUACARI,817.875
GUACHENE,842.28
GUACHETA,55.4375
GUADALUPE,185.1511628
GUADUAS,510.4545455
GUAITARILLA,839.4516129
GUALMATAN,45.92307692
GUAMAL,281.625
GUAMO,2840.583333
GUAPI,151.5416667
GUAPOTA,33.57894737
GUARANDA,950.4090909
GUARNE,6
GUATAPE,8.666666667
GUATAQUI,586.4583333
GUATEQUE,127.1052632
GUATICA,116.4285714
GUAVATA,257.2
GUAYABAL DE SIQUIMA,113.5238095
GUAYATA,103.9166667
GUEPSA,89.86956522
GUICAN,64.91666667
GUTIERREZ,1988.2
HACARI,50.125
HATILLO DE LOBA,246.65
HATO,132.2272727
HATO COROZAL,152.1176471
HATO NUEVO,246.6363636
HELICONIA,18.35
HERRAN,3.647058824
HERVEO,66.82608696
HOBO,62.51111111
HONDA,74.25
IBAGUE,1877.111111
ICONONZO,41.88888889
ILES,64.55555556
IMUES,487.6
INIRIDA,231.9166667
INZA,76.79166667
IPIALES,210.2857143
IQUIRA,240.9791667
ISNOS,584.8541667
ISTMINA,70
ITUANGO,1185.0625
IZA,7
JAMBALO,100.9473684
JAMUNDI,83.74193548
JARDIN,38.27272727
JENESANO,100.3125
JERICO,39.2
JERUSALEN,1692.714286
JESUS MARIA,62.13043478
JORDAN,42.69565217
